treeID	avgBetweenness	avgClusteringCoeff	avgInDegree	avgOutDegree	diameter	edgeCount	meanDistance	medianDegree	triad1	triad10	triad11	triad12	triad13	triad14	triad15	triad16	triad2	triad3	triad4	triad5	triad6	triad7	triad8	triad9	vertexCount	label
687	9.722222222222221	0.5185185185185185	2.2222222222222223	2.2222222222222223	0.5833333333333334	34.0	0.5240478883861237	5.0	11.0	2.0	0.0	1.0	1.0	3.0	0.0	0.0	28.0	4.0	4.0	4.0	16.0	4.0	1.0	5.0	9.0	10.0
688	9.071428571428571	0.7809523809523811	1.8571428571428572	1.8571428571428572	0.7142857142857143	25.0	0.5399402185116472	4.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	2.0	3.0	9.0	0.0	0.0	6.0	7.0	10.0
689	5.571428571428571	0.5761904761904761	2.142857142857143	2.142857142857143	0.8333333333333334	25.0	0.6482993197278911	4.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	8.0	2.0	2.0	2.0	7.0	2.0	1.0	4.0	7.0	10.0
690	4.571428571428571	0.5809523809523809	1.5714285714285714	1.5714285714285714	1.0	25.0	0.7543040293040293	3.0	5.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	13.0	1.0	1.0	1.0	8.0	2.0	0.0	2.0	7.0	10.0
691	13.831944444444446	0.4714285714285715	2.8333333333333335	2.8333333333333335	0.6428571428571428	58.0	0.5063900560224089	5.5	42.0	2.0	3.0	3.0	2.0	4.0	5.0	0.0	76.0	19.0	7.0	10.0	28.0	11.0	5.0	3.0	12.0	10.0
692	7.305555555555555	0.42962962962962964	2.3333333333333335	2.3333333333333335	0.7142857142857143	34.0	0.5895468728802062	5.0	9.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	27.0	7.0	3.0	5.0	18.0	5.0	0.0	3.0	9.0	10.0
693	13.73333333333333	0.4776190476190476	2.6	2.6	0.7	46.0	0.5194465338582985	4.5	19.0	1.0	0.0	2.0	1.0	1.0	0.0	4.0	41.0	13.0	2.0	3.0	11.0	13.0	6.0	3.0	10.0	10.0
694	8.314814814814815	0.671957671957672	1.8888888888888888	1.8888888888888888	1.0	34.0	0.6137820512820513	3.0	17.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	29.0	3.0	4.0	4.0	14.0	2.0	1.0	6.0	9.0	10.0
695	12.516666666666666	0.4299999999999999	2.9	2.9	0.6153846153846154	43.0	0.5215291244703009	6.0	11.0	0.0	0.0	3.0	0.0	3.0	3.0	1.0	37.0	12.0	2.0	5.0	17.0	13.0	8.0	5.0	10.0	10.0
696	14.38888888888889	0.35555555555555557	2.111111111111111	2.111111111111111	0.5833333333333334	34.0	0.4731732864085806	4.0	12.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	30.0	3.0	4.0	6.0	14.0	6.0	1.0	5.0	9.0	10.0
697	3.8095238095238093	0.4523809523809524	2.0	2.0	1.0	25.0	0.7959706959706959	4.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	9.0	3.0	2.0	2.0	8.0	3.0	0.0	2.0	7.0	10.0
698	10.575757575757576	0.6571428571428573	3.090909090909091	3.090909090909091	0.75	58.0	0.5599101257594081	6.0	16.0	4.0	1.0	3.0	4.0	3.0	3.0	0.0	55.0	9.0	6.0	6.0	27.0	9.0	9.0	10.0	11.0	10.0
699	8.310606060606062	0.5560606060606059	3.4545454545454546	3.4545454545454546	0.8	58.0	0.6160532649169013	7.0	17.0	2.0	5.0	4.0	5.0	5.0	7.0	1.0	48.0	16.0	3.0	5.0	18.0	17.0	7.0	5.0	11.0	10.0
700	8.833333333333334	0.7894179894179894	2.7777777777777777	2.7777777777777777	0.7	43.0	0.5889730639730639	6.0	8.0	3.0	0.0	1.0	0.0	5.0	3.0	0.0	21.0	4.0	3.0	5.0	11.0	7.0	5.0	8.0	9.0	10.0
701	14.833333333333332	0.585064935064935	3.0	3.0	0.6666666666666666	58.0	0.5188321721502499	6.0	14.0	3.0	0.0	4.0	3.0	5.0	2.0	0.0	62.0	9.0	6.0	10.0	23.0	10.0	1.0	13.0	11.0	10.0
